iter	Passed	Remaining
960	20897	414010
961	20918	413971
962	20940	413967
963	20962	413939
964	20982	413888
965	21005	413893
966	21027	413869
967	21048	413838
968	21069	413795
969	21091	413793
970	21113	413773
971	21134	413734
972	21156	413715
973	21177	413680
974	21198	413648
975	21220	413635
976	21242	413603
977	21264	413583
978	21284	413544
979	21305	413496
980	21326	413455
981	21347	413424
982	21367	413378
983	21389	413361
984	21411	413332
985	21432	413299
986	21452	413253
987	21474	413223
988	21495	413187
989	21516	413163
990	21538	413145
991	21560	413127
992	21581	413089
993	21602	413049
994	21622	413003
995	21643	412958
996	21664	412935
997	21688	412946
998	21708	412891
999	21728	412850
1000	21751	412851
1001	21777	412897
1002	21798	412863
1003	21820	412857
1004	21843	412847
1005	21868	412892
1006	21889	412856
1007	21911	412834
1008	21932	412805
1009	21954	412788
1010	21974	412734
1011	21994	412687
1012	22015	412637
1013	22036	412613
1014	22056	412563
1015	22078	412536
1016	22099	412506
1017	22122	412503
1018	22143	412465
1019	22165	412449
1020	22186	412416
1021	22208	412397
1022	22228	412351
1023	22249	412309
1024	22269	412250
1025	22288	412183
1026	22309	412146
1027	22329	412087
1028	22348	412017
1029	22369	411985
1030	22390	411959
1031	22411	411918
1032	22432	411885
1033	22452	411830
1034	22472	411783
1035	22491	411715
1036	22512	411676
1037	22531	411606
1038	22553	411590
1039	22575	411574
1040	22597	411557
1041	22618	411508
1042	22639	411484
1043	22660	411451
1044	22681	411420
1045	22704	411422
1046	22725	411389
1047	22746	411351
1048	22768	411328
1049	22790	411316
1050	22811	411275
1051	22832	411250
1052	22854	411227
1053	22881	411302
1054	22903	411287
1055	22924	411244
1056	22945	411219
1057	22966	411183
1058	22989	411180
1059	23009	411132
1060	23030	411098
1061	23051	411065
1062	23073	411041
1063	23094	411012
1064	23114	410967
1065	23135	410920
1066	23156	410893
1067	23177	410853
1068	23197	410812
1069	23219	410788
1070	23240	410755
1071	23260	410709
1072	23280	410658
1073	23301	410613
1074	23321	410562
1075	23343	410556
1076	23364	410513
1077	23386	410502
1078	23406	410455
1079	23427	410419
1080	23450	410415
1081	23471	410376
1082	23492	410356
1083	23512	410289
1084	23534	410272
1085	23555	410243
1086	23574	410177
1087	23594	410129
1088	23615	410095
1089	23638	410102
1090	23658	410051
1091	23679	410018
1092	23701	409998
1093	23722	409960
1094	23748	410013
1095	23771	410009
1096	23792	409984
1097	23813	409945
1098	23833	409904
1099	23853	409839
1100	23876	409853
1101	23896	409796
1102	23924	409888
1103	23950	409939
1104	23976	409985
1105	24002	410034
1106	24027	410077
1107	24048	410035
1108	24072	410049
1109	24093	410029
1110	24115	410005
1111	24136	409967
1112	24158	409960
1113	24180	409938
1114	24200	409889
1115	24224	409899
1116	24246	409888
1117	24268	409866
1118	24290	409855
1119	24313	409850
1120	24333	409803
1121	24354	409777
1122	24375	409730
1123	24397	409718
1124	24417	409677
1125	24439	409661
1126	24458	409591
1127	24480	409565
1128	24500	409525
1129	24522	409502
1130	24542	409451
1131	24563	409420
1132	24583	409370
1133	24606	409364
1134	24626	409326
1135	24650	409334
1136	24669	409271
1137	24692	409263
1138	24712	409215
1139	24736	409238
1140	24755	409178
1141	24776	409143
1142	24797	409109
1143	24818	409073
1144	24840	409049
1145	24860	409003
1146	24882	408990
1147	24903	408953
1148	24924	408925
1149	24944	408873
1150	24965	408836
1151	24988	408833
1152	25007	408780
1153	25029	408753
1154	25050	408717
1155	25071	408686
1156	25091	408650
1157	25114	408649
1158	25135	408605
1159	25157	408599
1160	25180	408584
1161	25202	408578
1162	25223	408542
1163	25244	408511
1164	25265	408475
1165	25287	408458
1166	25308	408420
1167	25330	408410
1168	25353	408405
1169	25373	408367
1170	25394	408324
1171	25415	408289
1172	25434	408239
1173	25455	408195
1174	25475	408147
1175	25495	408101
1176	25517	408088
1177	25537	408033
1178	25559	408022
1179	25579	407970
1180	25601	407958
1181	25623	407931
1182	25644	407908
1183	25667	407898
1184	25688	407872
1185	25709	407842
1186	25733	407857
1187	25756	407853
1188	25779	407856
1189	25802	407848
1190	25822	407804
1191	25843	407777
1192	25866	407771
1193	25885	407709
1194	25909	407722
1195	25929	407668
1196	25949	407628
1197	25969	407571
1198	25989	407533
1199	26012	407523
1200	26031	407464
1201	26052	407434
1202	26073	407393
1203	26094	407370
1204	26116	407349
1205	26136	407302
1206	26156	407258
1207	26178	407237
1208	26199	407211
1209	26219	407159
1210	26240	407126
1211	26261	407091
1212	26281	407052
